weight logl A B $log(f)$
0.000000000000000000e+00 -1.414158153086913824e+08 3.259796300958813231e-01 4.176669249946137197e-01 3.084203847689254152e-02
0.000000000000000000e+00 -1.363604364411076903e+08 7.365124299782129791e-01 8.332954405770720552e-01 2.476420806987603696e-01
0.000000000000000000e+00 -1.340220892864122540e+08 3.440275911968376787e-01 3.014589087060636219e-01 1.231075600002183856e-01
0.000000000000000000e+00 -1.335566106679134071e+08 1.417268819077011077e-01 7.752188872474504722e-01 6.598260299081504243e-01
0.000000000000000000e+00 -1.327186017538542002e+08 8.199594547930352251e-01 2.951275623460793973e-01 5.638798524515731270e-01
0.000000000000000000e+00 -1.305976466091262549e+08 3.125226491157844233e-01 6.345405628505550455e-01 4.101169529154735649e-02
0.000000000000000000e+00 -1.301800999238196313e+08 7.825641626922671401e-01 3.365212708170991496e-01 8.630366908082720556e-03
0.000000000000000000e+00 -1.300651536478681564e+08 7.760820494095100885e-01 3.986760597018657037e-01 2.105001283130484846e-01
0.000000000000000000e+00 -1.291142419432802498e+08 7.199751602850168464e-02 5.780790330767908713e-01 6.938986597968901382e-01
0.000000000000000000e+00 -1.288848623173952103e+08 8.355211971064882004e-01 4.528974094459212729e-01 6.078441732564539013e-01
0.000000000000000000e+00 -1.270779499276924282e+08 3.315917633551294652e-01 4.786004790482946136e-01 1.354266133433557895e-01
0.000000000000000000e+00 -1.270481887416523695e+08 7.706947795199428075e-01 4.272985144972443750e-01 2.946875729052269577e-01
0.000000000000000000e+00 -1.263148123675798625e+08 7.604768479056458474e-01 6.786498257404617318e-01 5.313195969579934674e-01
0.000000000000000000e+00 -1.257258330703048855e+08 2.771920882873402103e-01 4.030955071862942773e-01 6.061376837331875489e-01
0.000000000000000000e+00 -1.244662555046833754e+08 2.707608564755266678e-01 8.736368737125039807e-01 5.477890377833670721e-01
0.000000000000000000e+00 -1.233708106736278385e+08 7.965969126137243395e-01 1.453110124823540072e-01 2.825573591545256225e-01
0.000000000000000000e+00 -1.226853663377981931e+08 7.656965484143407608e-01 4.482307054404446323e-01 3.925642817459183975e-01
0.000000000000000000e+00 -1.225435710694767684e+08 7.910222900384251687e-01 1.912279696690389885e-01 6.254127532119291288e-03
0.000000000000000000e+00 -1.191327760320394933e+08 6.582442233708724055e-02 2.530342037347989015e-01 7.098050963063684549e-01
0.000000000000000000e+00 -1.173635349332598895e+08 8.837186113805794996e-01 2.752378660691936485e-01 6.397231310056541442e-01
0.000000000000000000e+00 -1.167788025311315507e+08 7.979803492544296217e-01 7.499309901279171964e-02 2.201987153450210011e-01
0.000000000000000000e+00 -1.162930012283172756e+08 2.205025888361125674e-01 3.731014608884870576e-01 6.539956148630803323e-01
0.000000000000000000e+00 -1.159855630233049393e+08 2.922416202260011975e-01 9.535049588488466732e-01 2.140941535928219119e-01
0.000000000000000000e+00 -1.156834491652438939e+08 7.250631630991826171e-01 7.720342235645043516e-01 1.973015675939323588e-01
0.000000000000000000e+00 -1.138983884796265364e+08 7.679550503421855856e-01 5.995222359782031996e-01 5.599463249599061498e-01
0.000000000000000000e+00 -1.110342189519304931e+08 7.085917498591131070e-01 9.053616103024511030e-01 4.122939850813741591e-01
0.000000000000000000e+00 -1.099382947338522524e+08 3.377620737157810415e-01 5.452788018138362558e-01 4.294006990011042246e-01
0.000000000000000000e+00 -1.098432225689007789e+08 2.764800743574881148e-01 7.306022948055213018e-01 5.892982741557047932e-01
0.000000000000000000e+00 -1.078736797452399582e+08 3.782983107389474853e-01 1.902635544543988533e-01 2.820913497989310792e-01
